annee,type,topic,valeur
2010.0,mot_cle_eco,ecosystem,95.0
2010.0,mot_cle_eco,pollution,207.0
2010.0,mot_cle_eco,sustainable,1656.0
2010.0,mot_cle_eco,sustainability,455.0
2010.0,mot_cle_eco,renewable,494.0
2010.0,mot_cle_eco,energy,4551.0
2010.0,mot_cle_eco,carbon,418.0
2010.0,mot_cle_eco,greenhouse,186.0
2010.0,mot_cle_eco,emissions,790.0
2010.0,mot_cle_eco,ecological,235.0
2010.0,mot_cle_eco,atmospheric,8.0
2010.0,mot_cle_eco,ozone,3.0
2010.0,mot_cle_eco,waste,590.0
2011.0,topic_weight,0,0.17608056962490082
2011.0,topic_weight,1,0.0
2011.0,topic_weight,2,0.0
2011.0,topic_weight,3,6.804720878601074
2011.0,topic_weight,4,19.996856689453125
2011.0,topic_weight,5,0.0
2011.0,nb_topics_actifs,,2.0
2011.0,mot_cle_eco,environment,2015.0
2011.0,mot_cle_eco,environmental,2040.0
2011.0,mot_cle_eco,climate,1713.0
2011.0,mot_cle_eco,global,497.0
2011.0,mot_cle_eco,warming,126.0
2011.0,mot_cle_eco,biodiversity,309.0
2011.0,mot_cle_eco,ecosystem,88.0
2011.0,mot_cle_eco,pollution,296.0
2011.0,mot_cle_eco,sustainable,2508.0
2011.0,mot_cle_eco,sustainability,622.0
2011.0,mot_cle_eco,renewable,439.0
2011.0,mot_cle_eco,energy,5034.0
2011.0,mot_cle_eco,carbon,423.0
2011.0,mot_cle_eco,greenhouse,206.0
2011.0,mot_cle_eco,emissions,813.0
2011.0,mot_cle_eco,ecological,212.0
2011.0,mot_cle_eco,atmospheric,10.0
2011.0,mot_cle_eco,ozone,23.0
2011.0,mot_cle_eco,waste,1297.0
2012.0,topic_weight,0,4.816681385040283
2012.0,topic_weight,1,5.2125139236450195
2012.0,topic_weight,2,0.0
2012.0,topic_weight,3,7.526656150817871
2012.0,topic_weight,4,0.0
2012.0,topic_weight,5,9.348755836486816
2012.0,nb_topics_actifs,,4.0
2012.0,mot_cle_eco,environment,2122.0
2012.0,mot_cle_eco,environmental,2001.0
2012.0,mot_cle_eco,climate,1594.0
2012.0,mot_cle_eco,global,444.0
2012.0,mot_cle_eco,warming,76.0
2012.0,mot_cle_eco,biodiversity,431.0
2012.0,mot_cle_eco,ecosystem,103.0
2012.0,mot_cle_eco,pollution,332.0
2012.0,mot_cle_eco,sustainable,2310.0
2012.0,mot_cle_eco,sustainability,566.0
2012.0,mot_cle_eco,renewable,334.0
2012.0,mot_cle_eco,energy,4950.0
2012.0,mot_cle_eco,carbon,307.0
2012.0,mot_cle_eco,greenhouse,140.0
2012.0,mot_cle_eco,emissions,646.0
2012.0,mot_cle_eco,ecological,170.0
2012.0,mot_cle_eco,atmospheric,2.0
2012.0,mot_cle_eco,ozone,1.0
2012.0,mot_cle_eco,waste,1401.0
2013.0,topic_weight,0,1.8918747901916504
2013.0,topic_weight,1,4.703246116638184
2013.0,topic_weight,2,0.0
2013.0,topic_weight,3,20.50531005859375
2013.0,topic_weight,4,0.8836031556129456
2013.0,topic_weight,5,0.0
2013.0,nb_topics_actifs,,3.0
2013.0,mot_cle_eco,environment,2974.0
2013.0,mot_cle_eco,environmental,2910.0
2013.0,mot_cle_eco,climate,1991.0
2013.0,mot_cle_eco,global,498.0
